ID,Movie Name,Year,Timing(min),Rating(10),Genre,Language,Votes
tt1217608,Yaar Meri Zindagi,2008,-,4.8,"Drama, Family, Musical            ",hindi,39
tt4912546,Denied: A Life Confined,2013 TV Movie,22 min,-,Documentary            ,nepali,-
tt1237894,Jhoomar,2007,-,6.9,-,oriya,7
tt3982578,Hututu,2014,138 min,5,Comedy            ,marathi,5
tt1663663,Parchhaeen,1989,-,-,Thriller            ,hindi,-
tt0231352,Chettathi,1965,-,-,-,kannada,-
tt0083063,Sharda,1981,126 min,5.5,"Drama, Family            ",hindi,19
tt10902596,Satyanweshi Byomkesh,2019,108 min,6.5,"Crime, Mystery, Thriller            ",bengali,267
tt4271912,Mahan,1996,132 min,6,"Drama, Family            ",bengali,8
tt2132465,Takht-O-Taj,1970,-,-,-,urdu,-
-,Death Match,II,-,-,"Action, Adventure, Thriller            ",nepali,-
tt1537032,Kanthaswamy,2009,190 min,5,"Action, Crime            ",tamil,1567
tt0432188,Vishwa Thulasi,2004,-,6.1,"Drama, Musical, Romance            ",tamil,32
tt7757972,Saakshyam,2018,166 min,4.7,Action            ,telugu,437
tt3908750,Circus Queen,1959,-,-,Action            ,hindi,-
tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,-,-,Thriller            ,hindi,-
tt6759286,Seemana,1996,-,8.9,"Action, Drama            ",nepali,8
tt6577668,Weather Report,2017,91 min,-,Drama            ,marathi,-
tt2522328,Shutter,2012,133 min,7.7,Thriller            ,malayalam,1017
tt2375283,Maithaanam,2011,125 min,5.9,"Drama, Family, Mystery            ",tamil,7
tt2317103,Sons of Ram,2012,85 min,6.6,"Animation, Drama, Musical            ",tamil,76
tt14231578,Duti Mon,2011,-,-,Drama            ,bengali,-
tt1575691,Swapna Lokam,1999,-,-,Romance            ,telugu,-
tt0376061,Pattalam,2003,159 min,5.1,"Action, Comedy, Drama            ",malayalam,316
tt14075090,The Twelve Thousand,2020,28 min,-,"Short, Drama            ",nepali,-
tt13546104,Indulekha (Malayalam),2020– ,22 min,-,Drama            ,malayalam,-
tt0240945,Sukham Sukhakaram,1994,-,-,-,malayalam,-
tt0297378,Santa,1961,-,-,Drama            ,telugu,-
