,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt8933650,Chanakya,2019,147 min,5.4,23,"Action, Adventure, Thriller            ",malayalam
tt0215898,Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi
tt1977836,Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese
tt0281721,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
tt1580704,That Girl in Yellow Boots,2010,103 min,6.6,3574,Crime Drama Mystery            ,kannada
tt0203289,American Desi,2001,100 min,6.6,1583,Comedy Drama Romance            ,hindi
tt6588966,Hichki,2018,116 min,7.5,10905,Comedy Drama            ,hindi
tt0962716,Babul,1986,162 min,4.8,9,Drama            ,hindi
tt11102314,Tribhanga,2021,95 min,6.1,2406,Drama Family            ,hindi
tt11536276,3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu
tt0152133,Rahi,1953,139 min,6.9,27,Drama            ,hindi
tt0436165,Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi
tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
tt0329393,Mr. and Mrs. Iyer,2002,120 min,7.9,4681,Drama            ,tamil
tt0254936,Advaitham,1991,181 min,7,275,"Action, Crime, Drama            ",malayalam
tt7586994,Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
tt0429541,Afsana Dilwalon Ka,2001,195 min,3.6,1024,Drama Romance            ,urdu
tt8806546,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam
tt3848938,Mr. X,2015,133 min,3.8,1816,Action Drama Sci-Fi            ,hindi
tt0268520,Pakhandi,1984,138 min,6.5,26,Drama            ,hindi
tt2498312,Bachchan,2013,145 min,6.6,926,"Action, Crime, Thriller            ",kannada
tt3877652,Desi Kattey,2014,139 min,4,125,Action            ,hindi
tt0329724,Vaddante Dabbu,1954,139 min,6.6,10,"Comedy, Drama            ",telugu
tt6853994,Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam
tt9729774,Sapthagiri LLB,2017,138 min,7.2,56,"Comedy, Drama            ",telugu
tt5948916,Manamantha,2016,164 min,7.7,840,Drama            ,telugu
tt4597882,Proud to Be a Sikh,2014,92 min,7.2,20,Drama            ,punjabi
tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,666,Drama            ,malayalam
tt0242519,Hera Pheri,2000,156 min,8.2,58037,Action Comedy Crime            ,hindi
tt4219300,Gollu Aur Pappu,2014,112 min,3.7,101,Comedy            ,hindi
tt10152214,Heer Maan Ja,2019,146 min,5.2,187,"Action, Comedy, Family            ",punjabi
tt1774473,Love You to Death,2012,102 min,5.3,7,"Comedy, Thriller            ",hindi
tt0231204,Awara Badal,1964,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri
tt6355584,Revelations,2016,118 min,7.3,135,Drama            ,tamil
tt1334254,Maharathi,2008,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi
tt0290258,Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi
tt1830782,Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada
tt1954206,The Dirty Picture,2011,145 min,6.6,8815,Biography Comedy Drama            ,tamil
tt9602804,The Last Color,2019,90 min,7.7,740,Drama            ,hindi
tt6425820,Rakkhushi,2006,134 min,6.5,10,Drama            ,bengali
tt4575174,Viswasam Athalle Ellam,2015,159 min,4.9,30,"Comedy, Drama            ",malayalam
tt5286444,Neerja,2016,122 min,7.7,21192,Biography Drama Thriller            ,hindi
tt4271820,OK Kanmani,2015,139 min,7.4,5030,Romance            ,tamil
tt6264438,Meen Kuzhambum Mann Paanaiyum,2016,136 min,5.4,98,"Comedy, Fantasy            ",tamil
tt1955036,Vakratunda Mahakaaya,2013,92 min,6.9,75,Comedy            ,marathi
tt2342405,Uladhaal,2008,130 min,6,49,"Drama, Thriller            ",marathi
tt5309284,Arshinagar,2015,134 min,4.5,198,"Drama, Musical, Romance            ",bengali
tt1883330,SHUDRA: The Untouchables,2011,116 min,7.8,23,"Drama, Family, History            ",hindi
tt0488316,Mazaa Mazaa,2005,99 min,2.8,57,Romance            ,hindi
tt5455354,Ek Gadi Baaki Anadi,1988,135 min,7.7,15,Comedy            ,marathi
tt0115568,Army,1996,153 min,4.3,1591,Action Drama            ,hindi
tt2759362,Munnudi,2000,108 min,6.6,12,Family            ,kannada
tt0306934,Halli Mestru,1992,162 min,6.9,56,"Comedy, Drama            ",kannada
tt9680174,Kitty Party,2019,134 min,3.8,5,"Action, Comedy            ",punjabi
tt1891884,Once Upon a Time in Mumbaai Dobara,2013,160 min,4.6,6698,Action Crime Drama            ,hindi
tt12934616,Little Singham: Kaal Ka Badla,2020,69 min,5.1,9,"Animation, Action            ",hindi
tt0345177,Ek Doctor Ki Maut,1990,122 min,8.3,1309,Biography Drama            ,hindi
tt0246286,The Train,1970,138 min,6.4,148,"Action, Crime, Mystery            ",hindi
tt5602510,Lala Begum,2016,58 min,6.5,21,"Drama, Thriller            ",urdu
tt0178175,Aakhri Ghulam,1989,171 min,5,32,"Action, Crime, Drama            ",hindi
tt10300254,Evadu Thakkuva Kadu,2019,125 min,7.5,21,Action            ,telugu
tt3885696,Ice Cream,2014,144 min,3.4,114,"Horror, Thriller            ",telugu
tt5289552,Sasanam,2006,154 min,6.1,16,Drama            ,tamil
tt0408976,Krishna Cottage,2004,124 min,5.1,1004,Horror Mystery            ,hindi
tt0079889,Sankarabharanam,1980,143 min,8.7,1985,Drama Music Romance            ,telugu
tt0231651,Ghulam Begum Badshah,1956,124 min,6.6,5,"Drama, History            ",hindi
tt8435324,Bombay Rose,2019,97 min,6.1,440,"Animation, Drama, Romance            ",hindi
tt0234571,Ratha Kanneer,1954,154 min,8.1,306,Drama            ,tamil
tt0371746,Iron Man,2008,126 min,7.9,9445,Action Adventure Sci-Fi            ,urdu
tt0314665,Shiva Sainya,1996,138 min,8.5,12,"Action, Drama            ",kannada
tt4228746,Zid,2014,126 min,4.4,1066,Crime Romance Thriller            ,hindi
tt0215534,Ayalathe Sundari,1974,168 min,7.1,8,"Comedy, Musical            ",malayalam
tt0242839,Sampoorna Mahabharat,1983,155 min,7.8,10,"Action, Adventure, Drama            ",gujarati
tt0099869,Izzatdaar,1990,172 min,5.2,177,"Action, Crime, Drama            ",hindi
